249, 4.84404
162754, 4.83823
316086, 4.83241
465439, 4.8266
604618, 4.82079
743304, 4.81497
936145, 4.71985
1127326, 4.62472
1309089, 4.52959
1489756, 4.43447
1657852, 4.33934
1831439, 4.24422
1992385, 4.14909
2157375, 4.05396
2315678, 3.95884
2468781, 3.86371
2620478, 3.76859
2759193, 3.67346
2892839, 3.57833
3022948, 3.48321
3150175, 3.38808
3271842, 3.29296
3389337, 3.19783
3506015, 3.1027
3616278, 3.00758
3722585, 2.91245
3825738, 2.81732
3926093, 2.7222
4022495, 2.62707
4115330, 2.53195
4204561, 2.43682
4289376, 2.34169
4374117, 2.24657
4452353, 2.15144
4527701, 2.05632
4602568, 1.96119
4671924, 1.86607
4737844, 1.77094
4801065, 1.67582
4861835, 1.58069
4919838, 1.48557
4974945, 1.39044
5026788, 1.29531
5076131, 1.20019
5123045, 1.10506
5167267, 1.00993
5254658; 1.00993
